id,emotion,predicted_label
0,0,3
1,5,0
2,6,2
3,4,3
4,2,4
5,0,3
6,4,4
7,3,3
8,0,3
9,3,3
10,5,5
11,3,4
12,4,6
13,4,6
14,0,3
15,6,6
16,2,2
17,5,5
18,4,3
19,2,2
20,3,3
21,6,3
22,0,6
23,6,4
24,3,3
25,2,4
26,5,5
27,6,6
28,6,6
29,3,6
30,4,4
31,6,4
32,6,0
33,0,6
34,1,1
35,3,6
36,5,3
37,0,3
38,0,3
39,4,4
40,6,3
41,4,6
42,2,2
43,4,4
44,2,4
45,4,4
46,3,3
47,6,3
48,3,3
49,3,3
50,4,4
51,2,2
52,3,3
53,2,0
54,0,2
55,4,3
56,3,5
57,6,6
58,6,6
59,2,4
60,6,3
61,4,6
62,6,4
63,3,6
64,0,3
65,0,3
66,3,3
67,5,5
68,6,5
69,0,4
70,2,3
71,5,3
72,5,3
73,6,3
74,3,3
75,0,4
76,6,6
77,0,3
78,5,5
79,3,2
80,2,5
81,3,3
82,5,3
83,6,4
84,3,6
85,4,6
86,6,3
87,2,3
88,3,3
89,3,3
90,3,3
91,2,6
92,4,0
93,6,3
94,6,6
95,4,3
96,4,3
97,5,5
98,4,3
99,6,6
100,5,5
101,3,3
102,6,6
103,6,6
104,3,4
105,4,4
106,5,5
107,5,5
108,5,3
109,3,3
110,0,0
111,3,3
112,0,3
113,0,0
114,3,3
115,3,6
116,3,3
117,3,4
118,3,3
119,0,3
120,6,3
121,3,3
122,5,5
123,4,4
124,4,3
125,0,3
126,4,3
127,3,3
128,3,3
129,3,3
130,6,6
131,3,3
132,2,4
133,0,4
134,5,5
135,0,4
136,6,3
137,6,6
138,3,4
139,0,4
140,2,2
141,3,3
142,3,3
143,4,4
144,0,3
145,6,4
146,5,3
147,6,0
148,4,6
149,2,5
150,6,4
151,6,6
152,6,6
153,6,6
154,6,3
155,5,3
156,0,6
157,0,3
158,6,6
159,3,3
160,4,3
161,5,3
162,3,3
163,2,2
164,6,2
165,2,5
166,0,6
167,0,5
168,3,3
169,6,4
170,3,5
171,5,5
172,0,4
173,3,3
174,4,4
175,0,0
176,6,3
177,2,6
178,1,3
179,6,4
180,4,3
181,6,6
182,6,6
183,0,4
184,0,3
185,6,3
186,5,5
187,2,2
188,4,4
189,1,6
190,3,3
191,2,2
192,6,6
193,3,4
194,6,4
195,2,6
196,5,5
197,0,6
198,2,3
199,3,3
200,2,3
201,4,4
202,2,4
203,4,3
204,4,3
205,6,4
206,2,3
207,2,5
208,0,3
209,2,3
210,6,4
211,6,6
212,5,5
213,0,3
214,0,0
215,5,3
216,6,2
217,3,3
218,6,4
219,6,3
220,2,3
221,2,4
222,5,0
223,5,5
224,4,4
225,3,4
226,2,5
227,1,3
228,5,5
229,3,3
230,3,3
231,6,4
232,5,3
233,1,3
234,2,6
235,2,3
236,0,3
237,5,4
238,3,3
239,6,3
240,2,3
241,4,4
242,0,0
243,3,3
244,5,3
245,3,2
246,3,4
247,4,2
248,1,3
249,6,6
250,4,4
251,0,3
252,0,3
253,2,2
254,4,3
255,5,4
256,3,3
257,3,3
258,3,3
259,3,4
260,3,3
261,0,3
262,3,2
263,6,3
264,4,6
265,2,5
266,6,3
267,4,3
268,2,6
269,6,6
270,3,3
271,2,2
272,3,3
273,4,4
274,4,4
275,3,3
276,3,3
277,0,3
278,6,4
279,6,6
280,0,3
281,4,2
282,4,3
283,6,3
284,4,6
285,4,4
286,0,3
287,6,5
288,5,4
289,6,3
290,2,0
291,4,4
292,3,3
293,4,6
294,4,3
295,0,6
296,3,3
297,3,3
298,0,3
299,6,6
300,5,3
301,0,2
302,0,0
303,0,5
304,4,4
305,0,3
306,4,4
307,6,3
308,6,6
309,3,3
310,6,6
311,6,6
312,0,0
313,5,5
314,4,6
315,4,3
316,3,3
317,6,6
318,4,4
319,0,6
320,3,3
321,2,6
322,6,3
323,2,3
324,0,6
325,2,4
326,3,4
327,6,6
328,4,2
329,3,3
330,3,3
331,3,3
332,5,5
333,6,4
334,6,6
335,5,5
336,6,2
337,0,5
338,6,3
339,4,3
340,0,3
341,6,4
342,4,4
343,3,4
344,2,2
345,0,2
346,3,3
347,5,5
348,0,3
349,0,4
350,3,3
351,2,4
352,0,3
353,0,6
354,5,3
355,6,4
356,4,4
357,3,3
358,2,4
359,3,3
360,2,3
361,3,3
362,5,3
363,4,4
364,0,5
365,3,3
366,0,0
367,4,6
368,6,3
369,4,2
370,4,3
371,3,3
372,3,4
373,6,3
374,6,6
375,4,4
376,3,4
377,5,3
378,3,3
379,3,3
380,3,3
381,6,3
382,5,6
383,1,2
384,2,6
385,6,3
386,3,3
387,2,6
388,3,3
389,3,6
390,2,3
391,2,2
392,3,6
393,2,2
394,2,4
395,4,2
396,4,4
397,5,0
398,2,5
399,6,4
400,2,2
401,3,3
402,6,6
403,3,3
404,6,6
405,4,2
406,6,6
407,6,4
408,2,4
409,4,4
410,3,4
411,0,3
412,0,3
413,4,4
414,6,6
415,5,6
416,6,3
417,4,4
418,5,5
419,1,3
420,0,0
421,2,4
422,2,4
423,3,3
424,5,5
425,3,3
426,6,3
427,3,3
428,6,4
429,5,6
430,3,3
431,6,2
432,6,3
433,4,4
434,3,3
435,3,3
436,5,3
437,6,3
438,0,3
439,3,3
440,2,5
441,6,3
442,6,3
443,3,3
444,4,3
445,3,3
446,4,3
447,4,6
448,3,3
449,3,3
450,6,4
451,5,6
452,6,3
453,0,3
454,6,4
455,5,5
456,4,3
457,0,4
458,5,3
459,3,5
460,2,3
461,4,3
462,6,0
463,2,4
464,5,5
